,LAT,LNG,ALT,BARE_GROUND
CC-A1-1,50.802944,-120.771568,561,20
CC-A1-2,50.803768,-120.771652,569,35
CC-A1-3,50.804806,-120.77179,570,25
CC-A1-4,50.804504,-120.770866,561,
CC-A1-5,50.803455,-120.771072,555,
*CC-A1-6,50.802975,-120.772751,559,
CC-A1-7,50.803024,-120.77182,560,30
CC-A1-8,50.802612,-120.771843,552,30
CC-A1-9,50.802231,-120.772232,535,20
*CC-A1-10,50.802418,-120.77198,546,
CC-A1-11,50.801353,-120.773727,483,10
CC-A1-12,50.801365,-120.774002,483,
CC-A2-1,50.798756,-120.772385,445,
CC-A2-2,50.799183,-120.772301,452,
CC-A2-3,50.799301,-120.772194,459,5
CC-A2-4,50.79948,-120.77182,473,
CC-A2-5,50.795807,-120.769737,420,75
CC-A2-6,50.796936,-120.767937,469,45
CC-A2-7,50.797279,-120.768585,471,10
CC-A6-1,50.795616,-120.786751,638,8
CC-A6-2,50.795525,-120.786642,644,15
CC-A6-3,50.795403,-120.786804,642,10
CC-A6-4,50.795135,-120.786911,637,20
CC-A11-1,50.791122,-120.788322,592,
CC-A11-2,50.791031,-120.788589,592,5
CC-A11-3,50.790977,-120.788979,592,
CC-A11-4,50.791203,-120.789284,596,
CC-A11-5,50.79081,-120.790123,601,
CC-A11-6,50.790524,-120.790512,607,10
CC-A11-7,50.790314,-120.790276,602,
CC-A11-8,50.790398,-120.791275,607,50
CC-A11-9,50.790699,-120.791603,620,50
CC-A13-1,50.791309,-120.790787,607,
CC-A13-2,50.792004,-120.788628,604,
CC-A13-3,50.791943,-120.78849,601,
CC-A13-4,50.791668,-120.788193,596,
CC-A13-5,50.790932,-120.79184,624,
CC-A13-6,50.79121,-120.791832,626,35
CC-A13-7,50.79121,-120.79187,626,
CC-A11-1,50.786587,-120.790947,528,25
CC-A11-2,50.785561,-120.791214,526,
CC-A11-3,50.787148,-120.79071,526,
CC-A12-1,50.789455,-120.795158,642,20
CC-A12-2,50.789547,-120.795509,646,
CC-A12-3,50.789703,-120.795616,647,50
CC-A12-4,50.789696,-120.795616,647,60
CC-A12-5,50.789879,-120.795174,649,60
CC-A12-6,50.787224,-120.800499,559,80
CC-A12-7,50.786167,-120.779901,525,30
CLR-A3-1,50.783432,-120.800659,431,
CLR-A3-2,50.782467,-120.800049,391,15
CLR-A3-3,50.782417,-120.800476,394,
CLR-A3-4,50.781567,-120.804146,371,5
CLR-A3-5,50.781071,-120.804337,369,2
CLR-A6-1,50.779671,-120.806831,335,
CLR-A6-2,50.77935,-120.80687,332,
CLR-A6-3,50.779026,-120.806625,338,
CLR-A6-4,50.77906,-120.805901,342,25
CLR-A6-5,50.779556,-120.805656,349,25
CLR-A6-6,50.779247,-120.805656,349,12
CLR-A6-7,50.779182,-120.804764,346,5
CLR-A1-1,50.787445,-120.811005,628,15
CLR-A1-2,50.787308,-120.811058,628,
CLR-A1-3,50.787071,-120.810532,616,
CLR-A1-4,50.786797,-120.810333,607,15
CLR-A1-5,50.786861,-120.810318,611,70
CLR-A1-6,50.787178,-120.809814,598,30
CLR-A2-1,50.785175,-120.813095,615,5
CLR-A2-2,50.78487,-120.812904,610,15
CLR-A2-3,50.784828,-120.812729,607,35
CLR-A2-4,50.783997,-120.815536,587,15
CLR-A2-5,50.783653,-120.815384,572,10
CLR-A5-1,50.784534,-120.820572,584,15
CLR-A7b-1,50.776985,-120.819481,334,
CLR-A7b-2,50.776722,-120.819511,346,
CLR-A7-1,50.784855,-120.83873,864,50
CLR-A7-2,50.784748,-120.838783,867,85
CLR-A7-3,50.784286,-120.838554,855,
CLR-A7-4,50.784397,-120.838394,856,
CLR-A7-5,50.784222,-120.83815,850,
CLR-A7-6,50.784184,-120.838242,849,
SC-A3-1,50.776527,-120.854477,683,40
SC-A3-2,50.776421,-120.852554,690,6
SC-A3-3,50.777363,-120.851776,712,
SC-A6-1,50.77343,-120.84169,484,10
